accident_count,accident_severity,rainfall_mm,visibility_km,road_condition,traffic_density,hour_of_day,is_weekend,is_high_speed,risk_score
11,1,2.3,3.89,3,2,0,1,1,72.8
14,2,25.0,6.17,1,1,7,1,0,70.3
8,3,3.8,7.62,3,2,0,1,0,69.0
13,1,19.0,6.45,2,1,20,0,0,63.9
16,3,43.0,7.14,3,2,5,0,1,96.5
8,2,11.3,9.34,2,3,19,1,0,68.6
10,1,11.6,7.32,3,2,13,0,0,46.3
11,1,9.3,7.74,3,2,10,0,0,48.8
13,1,5.9,1.16,3,3,1,1,0,92.3
10,2,9.7,9.57,4,2,20,1,0,66.8
11,1,13.9,7.64,3,3,3,1,1,71.1
8,1,64.0,14.44,3,2,12,1,0,74.1
13,2,41.7,4.24,4,1,6,0,1,77.1
13,2,29.7,0.77,3,4,5,0,0,98.0
10,1,33.0,10.47,4,1,2,1,0,63.3
14,1,9.5,9.39,3,4,8,0,0,65.0
7,1,16.1,3.97,3,1,13,1,1,49.4
9,2,33.8,1.88,4,2,19,0,1,87.0
10,2,7.5,14.15,2,1,10,0,0,60.3
12,1,49.0,13.66,3,1,4,1,0,79.2
6,2,8.1,0.2,2,3,13,0,1,86.1
4,2,13.8,6.17,3,3,18,1,1,53.4
11,2,18.6,14.66,2,3,7,0,0,68.4
16,2,45.1,6.1,3,2,6,1,1,84.1
10,1,4.2,6.04,4,2,6,0,0,40.2
8,1,20.6,6.87,4,3,23,0,0,62.9
15,2,11.0,3.52,3,2,22,0,0,81.8
14,2,4.7,1.18,5,3,2,0,0,91.8
15,2,22.5,12.21,3,2,2,1,1,87.1
10,1,12.1,0.63,3,1,17,0,0,68.2
16,3,16.2,8.99,4,3,12,0,0,80.9
10,2,5.8,11.55,4,3,0,0,1,77.7
10,1,9.8,2.2,4,3,4,0,0,79.3
14,1,14.4,4.3,2,1,3,0,0,81.0
17,2,7.8,12.85,3,2,15,0,1,76.0
7,2,3.3,10.13,4,2,14,0,0,44.2
15,1,48.9,5.53,3,2,17,1,0,72.9
15,3,10.7,12.81,3,1,16,0,0,69.9
12,1,19.9,12.83,3,3,13,1,0,65.7
10,1,7.9,9.08,4,2,13,0,1,46.9
